,ds,holiday
183,2015-12-28,Weihnachtsferien
184,2015-12-29,Weihnachtsferien
185,2015-12-30,Weihnachtsferien
186,2015-12-31,Weihnachtsferien
187,2016-01-01,Weihnachtsferien
188,2016-01-02,Weihnachtsferien
189,2016-01-03,Weihnachtsferien
190,2016-02-08,Winterferien
191,2016-02-09,Winterferien
192,2016-02-10,Winterferien
193,2016-02-11,Winterferien
194,2016-02-12,Winterferien
195,2016-02-13,Winterferien
196,2016-02-14,Winterferien
197,2016-02-15,Winterferien
198,2016-02-16,Winterferien
199,2016-02-17,Winterferien
200,2016-02-18,Winterferien
201,2016-02-19,Winterferien
202,2016-02-20,Winterferien
203,2016-02-21,Winterferien
204,2016-03-25,Osterferien
205,2016-03-26,Osterferien
206,2016-03-27,Osterferien
207,2016-03-28,Osterferien
208,2016-03-29,Osterferien
209,2016-03-30,Osterferien
210,2016-03-31,Osterferien
211,2016-04-01,Osterferien
212,2016-04-02,Osterferien
213,2016-04-03,Osterferien
214,2016-05-06,Pfingstferien
215,2016-05-07,Pfingstferien
216,2016-06-27,Sommerferien
217,2016-06-28,Sommerferien
218,2016-06-29,Sommerferien
219,2016-06-30,Sommerferien
220,2016-07-01,Sommerferien
221,2016-07-02,Sommerferien
222,2016-07-03,Sommerferien
223,2016-07-04,Sommerferien
224,2016-07-05,Sommerferien
225,2016-07-06,Sommerferien
226,2016-07-07,Sommerferien
227,2016-07-08,Sommerferien
228,2016-07-09,Sommerferien
229,2016-07-10,Sommerferien
230,2016-07-11,Sommerferien
231,2016-07-12,Sommerferien
232,2016-07-13,Sommerferien
233,2016-07-14,Sommerferien
234,2016-07-15,Sommerferien
235,2016-07-16,Sommerferien
236,2016-07-17,Sommerferien
237,2016-07-18,Sommerferien
238,2016-07-19,Sommerferien
239,2016-07-20,Sommerferien
240,2016-07-21,Sommerferien
241,2016-07-22,Sommerferien
242,2016-07-23,Sommerferien
243,2016-07-24,Sommerferien
244,2016-07-25,Sommerferien
245,2016-07-26,Sommerferien
246,2016-07-27,Sommerferien
