,ds,holiday
288,2017-07-14,Sommerferien
289,2017-07-15,Sommerferien
290,2017-07-16,Sommerferien
291,2017-07-17,Sommerferien
292,2017-07-18,Sommerferien
293,2017-07-19,Sommerferien
294,2017-07-20,Sommerferien
295,2017-07-21,Sommerferien
296,2017-07-22,Sommerferien
297,2017-07-23,Sommerferien
298,2017-07-24,Sommerferien
299,2017-07-25,Sommerferien
300,2017-07-26,Sommerferien
301,2017-07-27,Sommerferien
302,2017-07-28,Sommerferien
303,2017-07-29,Sommerferien
304,2017-07-30,Sommerferien
305,2017-07-31,Sommerferien
306,2017-08-01,Sommerferien
307,2017-08-02,Sommerferien
308,2017-08-03,Sommerferien
309,2017-08-04,Sommerferien
310,2017-08-05,Sommerferien
311,2017-08-06,Sommerferien
312,2017-08-07,Sommerferien
313,2017-08-08,Sommerferien
314,2017-08-09,Sommerferien
315,2017-08-10,Sommerferien
316,2017-08-11,Sommerferien
317,2017-08-12,Sommerferien
318,2017-10-02,Herbstferien
319,2017-10-03,Herbstferien
320,2017-10-04,Herbstferien
321,2017-10-05,Herbstferien
322,2017-10-06,Herbstferien
323,2017-10-07,Herbstferien
324,2017-10-08,Herbstferien
325,2017-10-09,Herbstferien
326,2017-10-10,Herbstferien
327,2017-10-11,Herbstferien
328,2017-10-12,Herbstferien
329,2017-10-13,Herbstferien
330,2017-10-14,Herbstferien
331,2017-12-22,Weihnachtsferien
332,2017-12-23,Weihnachtsferien
333,2017-12-24,Weihnachtsferien
334,2017-12-25,Weihnachtsferien
335,2017-12-26,Weihnachtsferien
336,2017-12-27,Weihnachtsferien
337,2017-12-28,Weihnachtsferien
338,2017-12-29,Weihnachtsferien
339,2017-12-30,Weihnachtsferien
340,2017-12-31,Weihnachtsferien
341,2018-01-01,Weihnachtsferien
342,2018-01-02,Weihnachtsferien
343,2018-01-03,Weihnachtsferien
344,2018-01-04,Weihnachtsferien
345,2018-01-05,Weihnachtsferien
346,2018-01-06,Weihnachtsferien
347,2018-01-07,Weihnachtsferien
348,2018-01-08,Weihnachtsferien
349,2018-01-09,Weihnachtsferien
350,2018-01-10,Weihnachtsferien
351,2018-03-26,Osterferien
352,2018-03-27,Osterferien
353,2018-03-28,Osterferien
354,2018-03-29,Osterferien
355,2018-03-30,Osterferien
356,2018-03-31,Osterferien
357,2018-04-01,Osterferien
358,2018-04-02,Osterferien
359,2018-04-03,Osterferien
360,2018-04-04,Osterferien
361,2018-04-05,Osterferien
362,2018-04-06,Osterferien
363,2018-04-07,Osterferien
364,2018-06-25,Sommerferien
365,2018-06-26,Sommerferien
366,2018-06-27,Sommerferien
367,2018-06-28,Sommerferien
368,2018-06-29,Sommerferien
369,2018-06-30,Sommerferien
370,2018-07-01,Sommerferien
371,2018-07-02,Sommerferien
372,2018-07-03,Sommerferien
373,2018-07-04,Sommerferien
374,2018-07-05,Sommerferien
375,2018-07-06,Sommerferien
376,2018-07-07,Sommerferien
377,2018-07-08,Sommerferien
378,2018-07-09,Sommerferien
379,2018-07-10,Sommerferien
380,2018-07-11,Sommerferien
381,2018-07-12,Sommerferien
382,2018-07-13,Sommerferien
383,2018-07-14,Sommerferien
384,2018-07-15,Sommerferien
385,2018-07-16,Sommerferien
386,2018-07-17,Sommerferien
387,2018-07-18,Sommerferien
388,2018-07-19,Sommerferien
389,2018-07-20,Sommerferien
390,2018-07-21,Sommerferien
391,2018-07-22,Sommerferien
392,2018-07-23,Sommerferien
393,2018-07-24,Sommerferien
394,2018-07-25,Sommerferien
395,2018-07-26,Sommerferien
396,2018-07-27,Sommerferien
397,2018-07-28,Sommerferien
398,2018-07-29,Sommerferien
399,2018-07-30,Sommerferien
400,2018-07-31,Sommerferien
401,2018-08-01,Sommerferien
402,2018-08-02,Sommerferien
403,2018-08-03,Sommerferien
404,2018-08-04,Sommerferien
405,2018-10-01,Herbstferien
406,2018-10-02,Herbstferien
407,2018-10-03,Herbstferien
408,2018-10-04,Herbstferien
409,2018-10-05,Herbstferien
410,2018-10-06,Herbstferien
411,2018-10-07,Herbstferien
412,2018-10-08,Herbstferien
413,2018-10-09,Herbstferien
414,2018-10-10,Herbstferien
415,2018-10-11,Herbstferien
416,2018-10-12,Herbstferien
417,2018-10-13,Herbstferien
418,2018-12-20,Weihnachtsferien
419,2018-12-21,Weihnachtsferien
420,2018-12-22,Weihnachtsferien
421,2018-12-23,Weihnachtsferien
422,2018-12-24,Weihnachtsferien
423,2018-12-25,Weihnachtsferien
424,2018-12-26,Weihnachtsferien
425,2018-12-27,Weihnachtsferien
426,2018-12-28,Weihnachtsferien
427,2018-12-29,Weihnachtsferien
428,2018-12-30,Weihnachtsferien
429,2018-12-31,Weihnachtsferien
430,2019-01-01,Weihnachtsferien
431,2019-01-02,Weihnachtsferien
432,2019-01-03,Weihnachtsferien
433,2019-01-04,Weihnachtsferien
434,2019-01-05,Weihnachtsferien
