,ds,holiday
264,2016-10-17,Herbstferien
265,2016-10-18,Herbstferien
266,2016-10-19,Herbstferien
267,2016-10-20,Herbstferien
268,2016-10-21,Herbstferien
269,2016-10-22,Herbstferien
270,2016-10-23,Herbstferien
271,2016-10-24,Herbstferien
272,2016-10-25,Herbstferien
273,2016-10-26,Herbstferien
274,2016-10-27,Herbstferien
275,2016-10-28,Herbstferien
276,2016-10-29,Herbstferien
277,2016-12-23,Weihnachtsferien
278,2016-12-24,Weihnachtsferien
279,2016-12-25,Weihnachtsferien
280,2016-12-26,Weihnachtsferien
281,2016-12-27,Weihnachtsferien
282,2016-12-28,Weihnachtsferien
283,2016-12-29,Weihnachtsferien
284,2016-12-30,Weihnachtsferien
285,2016-12-31,Weihnachtsferien
286,2017-01-01,Weihnachtsferien
287,2017-01-02,Weihnachtsferien
288,2017-01-03,Weihnachtsferien
289,2017-01-04,Weihnachtsferien
290,2017-01-30,Winterferien
291,2017-01-31,Winterferien
292,2017-02-01,Winterferien
293,2017-02-02,Winterferien
294,2017-02-03,Winterferien
295,2017-02-04,Winterferien
296,2017-02-05,Winterferien
297,2017-04-10,Osterferien
298,2017-04-11,Osterferien
299,2017-04-12,Osterferien
300,2017-04-13,Osterferien
301,2017-04-14,Osterferien
302,2017-04-15,Osterferien
303,2017-04-16,Osterferien
304,2017-04-17,Osterferien
305,2017-04-18,Osterferien
306,2017-04-19,Osterferien
307,2017-07-20,Sommerferien
308,2017-07-21,Sommerferien
309,2017-07-22,Sommerferien
310,2017-07-23,Sommerferien
311,2017-07-24,Sommerferien
312,2017-07-25,Sommerferien
313,2017-07-26,Sommerferien
314,2017-07-27,Sommerferien
315,2017-07-28,Sommerferien
316,2017-07-29,Sommerferien
317,2017-07-30,Sommerferien
318,2017-07-31,Sommerferien
319,2017-08-01,Sommerferien
320,2017-08-02,Sommerferien
321,2017-08-03,Sommerferien
322,2017-08-04,Sommerferien
323,2017-08-05,Sommerferien
324,2017-08-06,Sommerferien
325,2017-08-07,Sommerferien
326,2017-08-08,Sommerferien
327,2017-08-09,Sommerferien
328,2017-08-10,Sommerferien
329,2017-08-11,Sommerferien
330,2017-08-12,Sommerferien
331,2017-08-13,Sommerferien
332,2017-08-14,Sommerferien
333,2017-08-15,Sommerferien
334,2017-08-16,Sommerferien
335,2017-08-17,Sommerferien
336,2017-08-18,Sommerferien
337,2017-08-19,Sommerferien
338,2017-08-20,Sommerferien
339,2017-08-21,Sommerferien
340,2017-08-22,Sommerferien
341,2017-08-23,Sommerferien
342,2017-08-24,Sommerferien
343,2017-08-25,Sommerferien
344,2017-08-26,Sommerferien
345,2017-08-27,Sommerferien
346,2017-08-28,Sommerferien
347,2017-08-29,Sommerferien
348,2017-08-30,Sommerferien
349,2017-08-31,Sommerferien
350,2017-09-01,Sommerferien
351,2017-09-02,Sommerferien
352,2017-10-23,Herbstferien
353,2017-10-24,Herbstferien
354,2017-10-25,Herbstferien
355,2017-10-26,Herbstferien
356,2017-10-27,Herbstferien
357,2017-10-28,Herbstferien
358,2017-10-29,Herbstferien
359,2017-10-30,Herbstferien
360,2017-10-31,Herbstferien
361,2017-11-01,Herbstferien
362,2017-11-02,Herbstferien
363,2017-11-03,Herbstferien
364,2017-11-04,Herbstferien
365,2017-11-05,Herbstferien
366,2017-10-02,Herbstferien
367,2017-10-03,Herbstferien
368,2017-12-21,Weihnachtsferien
369,2017-12-22,Weihnachtsferien
370,2017-12-23,Weihnachtsferien
371,2017-12-24,Weihnachtsferien
372,2017-12-25,Weihnachtsferien
373,2017-12-26,Weihnachtsferien
374,2017-12-27,Weihnachtsferien
375,2017-12-28,Weihnachtsferien
376,2017-12-29,Weihnachtsferien
377,2017-12-30,Weihnachtsferien
378,2017-12-31,Weihnachtsferien
379,2018-01-01,Weihnachtsferien
380,2018-01-02,Weihnachtsferien
381,2018-01-03,Weihnachtsferien
382,2017-05-24,Pfingstferien
383,2017-05-25,Pfingstferien
384,2017-05-26,Pfingstferien
385,2017-05-27,Pfingstferien
386,2017-06-06,Pfingstferien
387,2017-06-07,Pfingstferien
388,2017-06-08,Pfingstferien
389,2017-06-09,Pfingstferien
390,2017-06-10,Pfingstferien
391,2018-02-05,Winterferien
392,2018-02-06,Winterferien
393,2018-02-07,Winterferien
394,2018-02-08,Winterferien
395,2018-02-09,Winterferien
396,2018-02-10,Winterferien
397,2018-02-11,Winterferien
398,2018-03-26,Osterferien
399,2018-03-27,Osterferien
400,2018-03-28,Osterferien
401,2018-03-29,Osterferien
402,2018-03-30,Osterferien
403,2018-03-31,Osterferien
404,2018-04-01,Osterferien
405,2018-04-02,Osterferien
406,2018-04-03,Osterferien
407,2018-04-04,Osterferien
408,2018-04-05,Osterferien
409,2018-04-06,Osterferien
410,2018-04-07,Osterferien
411,2018-04-30,Pfingstferien
412,2018-05-01,Pfingstferien
413,2018-05-11,Pfingstferien
414,2018-05-12,Pfingstferien
415,2018-05-22,Pfingstferien
416,2018-05-23,Pfingstferien
417,2018-07-05,Sommerferien
418,2018-07-06,Sommerferien
419,2018-07-07,Sommerferien
420,2018-07-08,Sommerferien
421,2018-07-09,Sommerferien
422,2018-07-10,Sommerferien
423,2018-07-11,Sommerferien
424,2018-07-12,Sommerferien
425,2018-07-13,Sommerferien
426,2018-07-14,Sommerferien
427,2018-07-15,Sommerferien
428,2018-07-16,Sommerferien
429,2018-07-17,Sommerferien
430,2018-07-18,Sommerferien
431,2018-07-19,Sommerferien
432,2018-07-20,Sommerferien
433,2018-07-21,Sommerferien
434,2018-07-22,Sommerferien
435,2018-07-23,Sommerferien
436,2018-07-24,Sommerferien
437,2018-07-25,Sommerferien
438,2018-07-26,Sommerferien
439,2018-07-27,Sommerferien
440,2018-07-28,Sommerferien
441,2018-07-29,Sommerferien
442,2018-07-30,Sommerferien
443,2018-07-31,Sommerferien
444,2018-08-01,Sommerferien
445,2018-08-02,Sommerferien
446,2018-08-03,Sommerferien
447,2018-08-04,Sommerferien
448,2018-08-05,Sommerferien
449,2018-08-06,Sommerferien
450,2018-08-07,Sommerferien
451,2018-08-08,Sommerferien
452,2018-08-09,Sommerferien
453,2018-08-10,Sommerferien
454,2018-08-11,Sommerferien
455,2018-08-12,Sommerferien
456,2018-08-13,Sommerferien
457,2018-08-14,Sommerferien
458,2018-08-15,Sommerferien
459,2018-08-16,Sommerferien
460,2018-08-17,Sommerferien
461,2018-08-18,Sommerferien
462,2018-10-22,Herbstferien
463,2018-10-23,Herbstferien
464,2018-10-24,Herbstferien
465,2018-10-25,Herbstferien
466,2018-10-26,Herbstferien
467,2018-10-27,Herbstferien
468,2018-10-28,Herbstferien
469,2018-10-29,Herbstferien
470,2018-10-30,Herbstferien
471,2018-10-31,Herbstferien
472,2018-11-01,Herbstferien
473,2018-11-02,Herbstferien
474,2018-11-03,Herbstferien
475,2018-12-22,Weihnachtsferien
476,2018-12-23,Weihnachtsferien
477,2018-12-24,Weihnachtsferien
478,2018-12-25,Weihnachtsferien
479,2018-12-26,Weihnachtsferien
480,2018-12-27,Weihnachtsferien
481,2018-12-28,Weihnachtsferien
482,2018-12-29,Weihnachtsferien
483,2018-12-30,Weihnachtsferien
484,2018-12-31,Weihnachtsferien
485,2019-01-01,Weihnachtsferien
486,2019-01-02,Weihnachtsferien
487,2019-01-03,Weihnachtsferien
488,2019-01-04,Weihnachtsferien
489,2019-01-05,Weihnachtsferien
490,2019-01-06,Weihnachtsferien
